年月日,日報酬率 %
2021/11/09,1.495
2021/11/08,0.3333
2021/11/05,2.2147
2021/11/04,-0.8446
2021/11/03,0
2021/11/02,0.339
2021/11/01,0
2021/10/29,-0.8403
2021/10/28,-0.6678
2021/10/27,0
2021/10/26,1.0118
2021/10/25,-1.1667
2021/10/22,0.6711
2021/10/21,-0.3344
2021/10/20,-0.3333
2021/10/19,1.6949
2021/10/18,-1.6667
2021/10/15,4.712
2021/10/14,0.3503
2021/10/13,-0.6957
2021/10/12,0
2021/10/08,-0.8621
2021/10/07,1.5762
2021/10/06,-0.1748
2021/10/05,0
2021/10/04,-0.3484
2021/10/01,-1.0345
2021/09/30,0
2021/09/29,-2.3569
2021/09/28,-1.3289
2021/09/27,0.6689
2021/09/24,1.7007
2021/09/23,0.3413
2021/09/22,-2.3333
2021/09/17,0
2021/09/16,-0.7002
2021/09/15,-0.9788
2021/09/14,-0.3252
2021/09/13,-1.1254
2021/09/10,0.4847
2021/09/09,0
2021/09/08,-0.6421
2021/09/07,-1.2678
2021/09/06,1.7742
2021/09/03,2.1417
2021/09/02,-0.9788
2021/09/01,-0.1629
2021/08/31,1.4876
2021/08/30,1.0017
2021/08/27,0.8418
2021/08/26,1.5385
2021/08/25,2.2727
2021/08/24,1.0601
2021/08/23,2.5362
2021/08/20,-1.2522
2021/08/19,-2.6132
2021/08/18,-1.0345
2021/08/17,-0.6849
2021/08/16,0.5164
2021/08/13,-0.8532
2021/08/12,-0.678
2021/08/11,-0.1692
2021/08/10,-0.6723
2021/08/09,0.6768
2021/08/06,-0.8389
2021/08/05,0
2021/08/04,0.3367
2021/08/03,0.678
2021/08/02,1.7241
2021/07/30,-0.5146
2021/07/29,0.6908
2021/07/28,-0.1724
2021/07/27,0
2021/07/26,-0.8547
2021/07/23,-1.0152
2021/07/22,1.0256
2021/07/21,0.6885
2021/07/20,-0.1718
2021/07/19,-1.1885
2021/07/16,-4.0717
2021/07/15,0.1631
2021/07/14,0.9885
2021/07/13,2.3609
2021/07/12,1.5411
2021/07/09,-0.6803
2021/07/08,-1.0101
2021/07/07,0.3378
2021/07/06,0.1692
2021/07/05,0.5102
2021/07/02,-0.8432
2021/07/01,-0.3361
2021/06/30,0
2021/06/29,0.8475
2021/06/28,-0.1692
2021/06/25,0.1695
2021/06/24,-0.8403
2021/06/23,2.9412
2021/06/22,-0.8576
2021/06/21,-3.3167
2021/06/18,-0.495
2021/06/17,0.5785
2021/06/16,-0.6568
2021/06/15,1.1628
2021/06/11,0.5008
2021/06/10,2.2184
2021/06/09,-0.5093
2021/06/08,-0.5068
2021/06/07,-0.5042
2021/06/04,-0.1678
2021/06/03,0.1681
2021/06/02,-0.5017
2021/06/01,0.1675
2021/05/31,1.1864
2021/05/28,1.3746
2021/05/27,-0.5128
2021/05/26,0.3431
2021/05/25,2.6408
2021/05/24,-0.8726
2021/05/21,1.0582
2021/05/20,0
2021/05/19,-0.8741
2021/05/18,4.1894
2021/05/17,-1.4363
2021/05/14,1.8282
2021/05/13,-2.3214
2021/05/12,-1.9264
2021/05/11,-3.056
2021/05/10,-1.6694
2021/05/07,2.0443
2021/05/06,0.3419
2021/05/05,-1.0152
2021/05/04,0.5102
2021/05/03,-2
2021/04/29,-0.3322
2021/04/28,-1.3115
2021/04/27,0
2021/04/26,1.3289
2021/04/23,1.8613
2021/04/22,-0.1689
2021/04/21,-1.6611
2021/04/20,-0.1658
2021/04/19,-1.1475
2021/04/16,-1.454
2021/04/15,1.1438
2021/04/14,1.157
2021/04/13,0
2021/04/12,-0.8197
2021/04/09,-0.4894
2021/04/08,0.4918
2021/04/07,0
2021/04/06,1.3289
2021/04/01,2.5554
2021/03/31,-1.675
2021/03/30,-0.3339
2021/03/29,1.5254
2021/03/26,2.6087
2021/03/25,-0.1736
2021/03/24,-3.0303
2021/03/23,0.1686
2021/03/22,0.3384
2021/03/19,-1.8272
2021/03/18,-0.3311
2021/03/17,-1.0604
2021/03/16,0.3273
2021/03/15,-0.4886
2021/03/12,0.821
2021/03/11,2.0101
2021/03/10,0.3361
2021/03/09,-0.5017
2021/03/08,-0.4992
2021/03/05,0
2021/03/04,-3.3762
2021/03/03,2.1346
2021/03/02,0.495
2021/02/26,-4.5669
2021/02/25,1.6
2021/02/24,-2.4961
2021/02/23,-1.3846
2021/02/22,-0.3067
2021/02/19,-1.2121
2021/02/18,-0.4525
2021/02/17,4.9051
2021/02/05,0.7974
2021/02/04,-0.4762
2021/02/03,-0.3165
2021/02/02,3.437
2021/02/01,3.3841
2021/01/29,-1.6639
2021/01/28,-2.2764
2021/01/27,-0.3241
2021/01/26,-2.5276
2021/01/25,-2.4653
2021/01/22,-3.5661
2021/01/21,4.0185
2021/01/20,3.1898
2021/01/19,3.2949
2021/01/18,0.9983
2021/01/15,1.5203
2021/01/14,-2.1488
2021/01/13,2.3689
2021/01/12,1.1986
2021/01/11,0.6897
2021/01/08,2.6549
2021/01/07,2.9144
2021/01/06,1.2915
2021/01/05,1.1194
2021/01/04,1.1321
2020/12/31,0.9524
2020/12/30,1.9417
2020/12/29,0
2020/12/28,0.7828
2020/12/25,0.1961
2020/12/24,0.1965
2020/12/23,0
2020/12/22,-1.3566
2020/12/21,1.1765
2020/12/18,0.3937
2020/12/17,-0.293
2020/12/16,1.5873
2020/12/15,-0.7874
2020/12/14,-1.5504
2020/12/11,0.7813
2020/12/10,-1.5385
2020/12/09,-0.7634
2020/12/08,1.9455
2020/12/07,2.1869
2020/12/04,1.2072
2020/12/03,-0.4008
2020/12/02,1.8367
2020/12/01,1.9771
2020/11/30,-1.7382
2020/11/27,0
2020/11/26,0.4107
2020/11/25,-1.0163
2020/11/24,-0.9063
2020/11/23,1.7418
2020/11/20,-0.4082
2020/11/19,-1.4085
2020/11/18,2.3687
2020/11/17,0.3099
2020/11/16,4.7619
2020/11/13,0.8734
2020/11/12,0.2188
2020/11/11,1.3304
2020/11/10,-1.6358
2020/11/09,1.326
2020/11/06,0.3326
2020/11/05,0.2222
2020/11/04,2.0408
2020/11/03,1.2629
2020/11/02,0.8102
2020/10/30,-1.1442
2020/10/29,-1.5766
2020/10/28,-0.6711
2020/10/27,-0.6667
2020/10/26,-0.4425
2020/10/23,-0.6593
2020/10/22,0.4415
2020/10/21,0.4435
2020/10/20,-1.4208
2020/10/19,1.8931
2020/10/16,-0.883
2020/10/15,-1.3072
2020/10/14,-0.6494
2020/10/13,0.4348
2020/10/12,1.5453
2020/10/08,2.2573
2020/10/07,0.7964
2020/10/06,1.6185
2020/10/05,-0.1155
2020/09/30,0.464
2020/09/29,-0.1159
2020/09/28,1.7689
2020/09/25,0.2364
2020/09/24,-2.4221
2020/09/23,-0.8009
2020/09/22,-0.6818
2020/09/21,-0.9009
2020/09/18,-1.0033
2020/09/17,-1.5284
2020/09/16,2.9213
2020/09/15,0.907
2020/09/14,1.0309
2020/09/11,0.3448
2020/09/10,1.8735
2020/09/09,-0.9281
2020/09/08,1.1737
2020/09/07,-0.6993
2020/09/04,-1.6055
2020/09/03,0.6928
2020/09/02,-0.4598
2020/09/01,1.993
2020/08/31,-1.954
2020/08/28,-2.027
2020/08/27,0.4525
2020/08/26,1.7261
2020/08/25,1.5187
2020/08/24,0.8245
2020/08/21,2.2892
2020/08/20,-2.924
2020/08/19,-1.2702
2020/08/18,-0.4598
2020/08/17,1.8735
2020/08/14,-0.4662
2020/08/13,2.3866
2020/08/12,-2.331
2020/08/11,-1.4925
2020/08/10,0.5774
2020/08/07,-0.4598
2020/08/06,1.3986
2020/08/05,0.8226
2020/08/04,2.2837
2020/08/03,-2.2327
2020/07/31,-1.9585
2020/07/30,2.8436
2020/07/29,-2.9885
2020/07/28,2.4735
2020/07/27,9.9741
2020/07/24,1.1796
2020/07/23,-0.651
2020/07/22,0.2611
2020/07/21,4.6448
2020/07/20,-0.2725
2020/07/17,2.6573
2020/07/16,-1.5152
2020/07/15,-0.1376
2020/07/14,2.5388
